"Terms searched for in same 15 second clip: (""palestinian"" OR ""gazan"" OR ""gaza"" OR ""gazans"" OR ""palestinians"" OR ""israeli"" OR ""israel"" OR ""israelis"") AND (""massacring"" OR ""massacre"" OR ""massacres"" OR ""brutal"" OR ""slaughter"" OR ""slaughters"" OR ""slaughtering"" OR ""barbaric"" OR ""savage"")",,,,,,
,,,,,,
,,,,,,
URL,MatchDateTime,Day,Station,Show,Snippet,Victim
https://archive.org/details/MSNBCW_20231012_100000_Morning_Joe#start/5657/end/5692,10/12/2023 11:34:32,10/12/2023,MSNBC,Morning Joe,"the ground is planned so far, but what are we doing, what can we do technologically and militarily to assist in such a brutal environment in gaza, assist the israelis? as you indicate, i did spend some time in iraq, also in gaza",N/A
https://archive.org/details/MSNBCW_20231012_100000_Morning_Joe#start/5641/end/5676,10/12/2023 11:34:16,10/12/2023,MSNBC,Morning Joe,"how brutal fallujah was. house to house, operationally, militarily, there is no more dangerous, combustible element than house to house operations. when it comes to gaza, you've indicated no american boots on",N/A
https://archive.org/details/CNNW_20231012_110000_CNN_This_Morning#start/1717/end/1752,10/12/2023 11:28:52,10/12/2023,CNN,CNN This Morning,"horrific as this is, the value of civilian life is so crucial. he went on to draw the distinction between hamas as a brutal terrorist organization and the actual needs and desires of the palestinian people. a distinction that was very clear to draw, as you all saw",N/A
https://archive.org/details/MSNBCW_20231013_100000_Morning_Joe#start/4751/end/4786,10/13/2023 11:19:26,10/13/2023,MSNBC,Morning Joe,"hamas, they're brutal dictators. haven't held an election since 2007. they're tyrants. when people say, why won't the israelis make peace with hamas, because if somebody in gaza wants to make peace, they literally will kill them.",N/A
https://archive.org/details/MSNBCW_20231013_100000_Morning_Joe#start/4672/end/4707,10/13/2023 11:18:07,10/13/2023,MSNBC,Morning Joe,"separate government in gaza which is hamas. the last elections in hamas were in 2006. nobody really understands how many people in gaza actually support the hamas government. hamas is a brutal government in gaza at home, toward their own",N/A
https://archive.org/details/MSNBCW_20231014_040000_Alex_Wagner_Tonight#start/5247/end/5282,10/14/2023 5:27:42,10/14/2023,MSNBC,Alex Wagner Tonight,"israel in the right to defend themselves. privately, there is always been advice and guidance saying, listen, it doesn't help your cause if you have mask civilian casualties. it absolutely harvest world opinion. i don't think that, even with a brutal response and a high civilian death count, that it will change opinion in",N/A
https://archive.org/details/MSNBCW_20231014_000000_All_In_With_Chris_Hayes#start/329/end/364,10/14/2023 0:05:44,10/14/2023,MSNBC,All In With Chris Hayes,"involved. urban warfare being contemplated is the most lethal, brutal form imaginable for both the soldiers waging it, and the 2 million civilians in harm's way. nbc news foreign correspondent josh lederman joins us now from the northern coast of israel in",N/A
https://archive.org/details/CNNW_20231015_230000_Israel_at_War#start/1174/end/1209,10/15/2023 23:19:49,10/15/2023,CNN,Israel at War,"that the iranians know that hezbollah will be destroyed. whatever damage it does to israel, it won't rohr from this, because the israelis and the american people turn on hezbollah, and that will be the end of it. it might be brutal, might take",N/A
https://archive.org/details/MSNBCW_20231015_170000_Alex_Witt_Reports#start/2544/end/2579,10/15/2023 17:42:39,10/15/2023,MSNBC,Alex Witt Reports,"civilians in gaza. we must not see a slaughter of innocent civilians. the size of gaza, just for those who don't really know, white or haven't visited it, it's literally the same square miles as my dear city of philadelphia.",N/A
https://archive.org/details/MSNBCW_20231015_160000_Inside_With_Jen_Psaki#start/167/end/202,10/15/2023 16:03:02,10/15/2023,MSNBC,Inside With Jen Psaki,"gaza. ahead of what it will likely be a brutal bloody ground offensive. israel has ordered more than 1 million people to leave their homes and evacuate to the south. u.n. warns that this could be a humanitarian catastrophe. earlier today, national",N/A
https://archive.org/details/CNNW_20231015_140000_Fareed_Zakaria_GPS#start/425/end/460,10/15/2023 14:07:20,10/15/2023,CNN,Fareed Zakaria GPS,"arabia. the more brutal israel's response, the more likely it is that that deal will collapse. israel's goal should be to respond to hamas, deal with the palestinian issue in the way that still is lous for the",N/A
https://archive.org/details/MSNBCW_20231015_000000_NBC_News_Special_Report_Israel-Hamas_War#start/6088/end/6123,10/15/2023 1:41:43,10/15/2023,MSNBC,NBC News Special Report Israel-Hamas War,"palestinians inside the gaza strip have been living under the brutal hamas dictatorship, a regime that brought no dissent. it treats dissenters with extreme brutality. it has brutalized the gaza strip, it has exploited every",N/A
https://archive.org/details/MSNBCW_20231016_230000_The_ReidOut#start/1253/end/1288,10/16/2023 23:21:08,10/16/2023,MSNBC,The ReidOut,"islamophoia and anti-semitism. the hate has consequences and they're brutal and tragic. on saturday, wadea al fayoume, a 6-year-old palestinian american boy, was stabbed 26 times by his landlord in his illinois home.",N/A
